order,id,date,time,title,url,visitCount,typedCount,transition
28,3614,5/8/2024,18:19:23,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
29,3614,5/8/2024,18:19:21,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
30,3614,5/8/2024,18:19:21,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
31,3695,5/8/2024,18:19:21,Imersao-Alura-2/Aula_2 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_2,11,0,link
32,3695,5/8/2024,18:19:17,Imersao-Alura-2/Aula_2 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_2,11,0,link
33,3695,5/8/2024,18:19:17,Imersao-Alura-2/Aula_2 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_2,11,0,link
34,3614,5/8/2024,18:19:16,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
35,3614,5/8/2024,18:19:12,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
36,3614,5/8/2024,18:19:12,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
37,3695,5/8/2024,18:19:12,Imersao-Alura-2/Aula_2 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_2,11,0,link
38,3695,5/8/2024,18:19:05,Imersao-Alura-2/Aula_2 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_2,11,0,link
39,3695,5/8/2024,18:19:04,Imersao-Alura-2/Aula_2 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_2,11,0,link
40,3695,5/8/2024,18:19:04,Imersao-Alura-2/Aula_2 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_2,11,0,link
41,3632,5/8/2024,18:18:37,New File at / · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/new/main,6,0,link
42,3632,5/8/2024,18:18:36,New File at / · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/new/main,6,0,link
43,3614,5/8/2024,18:18:36,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
44,3614,5/8/2024,18:18:32,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
45,3614,5/8/2024,18:18:32,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
46,3614,5/8/2024,18:18:32,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
47,3614,5/8/2024,18:18:31,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
48,3694,5/8/2024,18:18:16,Imersao-Alura-2/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/blob/main/README.md?plain=1,1,0,link
49,3613,5/8/2024,18:18:06,Imersao-Alura-2/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/blob/main/README.md,12,0,link
50,3612,5/8/2024,18:15:41,Editing Imersao-Alura-2/README.md at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/edit/main/README.md,6,0,link
51,3614,5/8/2024,18:15:22,"BeatrizVencio/Imersao-Alura-2: Imersão Alura IA Google Gemini, uma iniciativa da Alura em parceria com o Google para ensinar sobre Inteligência Artificial (IA) e a nova tecnologia do Google, o Gemini.",https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main,26,0,link
52,3693,5/8/2024,18:15:18,Imersao-Alura-2/Aula_1 at main · BeatrizVencio/Imersao-Alura-2,https://github.com/BeatrizVencio/Imersao-Alura-2/tree/main/Aula_1,7,0,link
